70,A,67
67,A,64
64,A,63
63,A,60
60,A,58
58,A,56
56,A,53
53,A,51
51,A,49
49,A,48
48,A,5
5,A,8
8,A,11,14,17
17,A,23
23,A,26
26,A,27
27,A,29
29,A,31
31,A,33
33,A,36
36,A,38
38,A,39
39,A,41
41,A,43
43,A,45
45,A,46,73
46,D,44
44,D,42
42,D,40
40,D,37
37,D,35
35,D,34
34,D,32
32,D,30
30,D,28
28,D,24
24,D,18
18,D,9,11,14
9,D,4
4,D,47
47,D,50
50,D,52
52,D,54
54,D,55
55,D,57
57,D,59
59,D,61
61,D,62
62,D,65
65,D,66
66,D,68
68,D,69
69,D,19
14,OTHER,19
15,OTHER,19
19,OTHER,20
20,OTHER,19
21,OTHER,19
22,OTHER,19
10,OTHER,19
11,OTHER,19
12,OTHER,19
13,OTHER,19
